a	あ
i	い
u	う
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
sa	さ
si	し
su	す
se	せ
so	そ
ta	た
ti	ち
tu	つ
te	て
to	と
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yi	い
yu	ゆ
ye	いぇ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
da	だ
di	ぢ
du	づ
de	で
do	ど
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
ca	か
ci	し
cu	く
ce	せ
co	こ
qa	くぁ
qi	くぃ
qu	く
qe	くぇ
qo	くぉ
va	ヴぁ
vi	ヴぃ
vu	ヴ
ve	ヴぇ
vo	ヴぉ
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ
vya	ヴゃ
vyi	ヴぃ
vyu	ヴゅ
vye	ヴぇ
vyo	ヴょ
qya	くゃ
qyi	くぃ
qyu	くゅ
qye	くぇ
qyo	くょ
cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
fya	ふゃ
fyi	ふぃ
fyu	ふゅ
fye	ふぇ
fyo	ふょ
sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ
cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ
tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ
dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ
wha	うぁ
whi	うぃ
whu	う
whe	うぇ
who	うぉ
kwa	くぁ
kwi	くぃ
kwu	くぅ
kwe	くぇ
kwo	くぉ
qwa	くぁ
qwi	くぃ
qwu	くぅ
qwe	くぇ
qwo	くぉ
gwa	ぐぁ
gwi	ぐぃ
gwu	ぐぅ
gwe	ぐぇ
gwo	ぐぉ
swa	すぁ
swi	すぃ
swu	すぅ
swe	すぇ
swo	すぉ
twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ
dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
fwa	ふぁ
fwi	ふぃ
fwu	ふぅ
fwe	ふぇ
fwo	ふぉ
tsa	つぁ
tsi	つぃ
tsu	つ
tse	つぇ
tso	つぉ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lya	ゃ
lyi	ぃ
lyu	ゅ
lye	ぇ
lyo	ょ
xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ
xya	ゃ
xyi	ぃ
xyu	ゅ
xye	ぇ
xyo	ょ
lwa	ゎ
xwa	ゎ
lka	ヵ
xka	ヵ
lke	ヶ
xke	ヶ
ltu	っ
xtu	っ
nn	ん
n’	ん
xn	ん
